occurred_on_date,case_count,D_A1,D_A15,D_A7,D_B2,D_B3,D_C11,D_C6,D_D14,D_D4,D_E13,D_E18,D_E5,D_External,day_1,day_2,day_3,day_4,day_5,day_6,day_7
735903,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735903,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735903,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735903,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735903,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735903,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
735903,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
735903,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
735903,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
735903,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
735903,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
735904,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735904,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735904,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735904,36,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735904,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735904,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735904,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
735904,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
735904,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
735904,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
735904,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
735904,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
735905,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
